title,author,isbn,publisher,publishedDate,description,pageCount,rating,genre,status,price,pdfLink,buyLink
The Name of the Wind,Patrick Rothfuss,978-0756404079,DAW Books,2007-03-27,"A young man grows to be the most notorious wizard his world has ever seen, from his own perspective.",662,4.8,Fantasy,AVAILABLE,16.99,https://books.google.com/books?id=nameofthewind,https://www.amazon.com/dp/0756404079
Sapiens: A Brief History of Humankind,Yuval Noah Harari,978-0062316097,Harper,2015-02-10,From a renowned historian comes a groundbreaking narrative of humanity's creation and evolution.,443,4.5,Non-Fiction,CHECKED_OUT,18.99,,https://www.amazon.com/dp/0062316095
Project Hail Mary,Andy Weir,978-0593135204,Ballantine,2021-05-04,A lone astronaut must save the earth from disaster. He can't remember his name or how he got here.,476,4.9,Sci-Fi,AVAILABLE,15.99,https://books.google.com/books?id=projecthailmary,https://www.amazon.com/dp/0593135202
Atomic Habits,James Clear,978-0735211292,Avery,2018-10-16,An easy & proven way to build good habits and break bad ones using tiny changes.,320,4.7,Self-Help,AVAILABLE,14.99,,https://www.amazon.com/dp/0735211299
The Pragmatic Programmer,David Thomas,978-0135957059,Addison-Wesley,2019-09-13,Your journey to mastery: timeless lessons for software craftspeople.,352,4.6,Technology,AVAILABLE,49.99,https://pragprog.com/titles/tpp20/,https://www.amazon.com/dp/0135957052
1984,George Orwell,978-0451524935,Signet Classic,1949-06-08,A dystopian social science fiction novel set in a totalitarian superstate.,328,4.7,Classic,AVAILABLE,9.99,https://www.gutenberg.org/ebooks/84,https://www.amazon.com/dp/0451524934
The Midnight Library,Matt Haig,978-0525559474,Viking,2020-09-29,Between life and death there is a library. Each book is a chance to try another life.,304,4.4,Fiction,RESERVED,16.0,,https://www.amazon.com/dp/0525559477
Clean Code,Robert C. Martin,978-0132350884,Prentice Hall,2008-08-01,A handbook of agile software craftsmanship and best practices for writing maintainable code.,431,4.4,Technology,CHECKED_OUT,39.99,,https://www.amazon.com/dp/0132350882
Romancing Mister Bridgerton,"],",,,,,0,0.0,,AVAILABLE,0.0,,
Shatter Me,Tahereh Mafi,978-0062085504,HapperCollins,2011-11-15,"The gripping first installment in global bestselling author Tahereh Mafi’s epic, romantic Shatter Me series.  One touch is all it takes. One touch, and Juliette Ferrars can leave a fully grown man gasping for air. One touch, and she can kill.  No one knows why Juliette has such incredible power. It feels like a curse, a burden that one person alone could never bear. But The Reestablishment sees it as a gift, sees her as an opportunity. An opportunity for a deadly weapon.  Juliette has never fought for herself before. But when she’s reunited with the one person who ever cared about her, she finds a strength she never knew she had.",338,3.8,Young Adult Dystopian ,AVAILABLE,8.99,,https://www.amazon.com/Shatter-Me-Tahereh-Mafi/dp/0062085506
